                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.6591,                 1.5398,                 1.8709,                0.73186,                0.50632,                0.61258,                0.33912,                 1.5488,                 1.3616,                 1.7494,              0.0008996,              0.0008996,              0.0008996
                     95,                 1.6626,                 1.4883,                  1.834,                0.74179,                0.49473,                0.59754,                0.34059,                 1.5254,                 1.3702,                 1.7433,             0.00089134,             0.00089134,             0.00089134
                     96,                 1.6679,                 1.4786,                 1.8403,                0.71327,                0.54021,                0.61702,                0.35285,                 1.5089,                 1.3439,                 1.7354,             0.00088309,             0.00088309,             0.00088309
                     97,                 1.6483,                 1.4674,                 1.8288,                 0.7601,                0.52489,                0.62782,                0.36103,                 1.5207,                 1.3012,                 1.7341,             0.00087484,             0.00087484,             0.00087484
                     98,                 1.6324,                 1.4913,                 1.8282,                0.76698,                0.53458,                0.63035,                 0.3597,                 1.5047,                 1.2854,                 1.7144,             0.00086659,             0.00086659,             0.00086659
                     99,                 1.5654,                  1.465,                 1.7774,                0.76209,                0.53647,                0.64489,                0.35034,                 1.5587,                 1.3142,                 1.7572,             0.00085834,             0.00085834,             0.00085834
                    100,                 1.6426,                 1.4632,                 1.8327,                0.73866,                0.52978,                0.63502,                0.34355,                 1.5703,                  1.366,                 1.7613,             0.00085009,             0.00085009,             0.00085009
                    101,                 1.6128,                 1.4722,                 1.8043,                0.72365,                0.52334,                0.61565,                0.31427,                 1.7008,                 1.4374,                   1.85,             0.00084184,             0.00084184,             0.00084184
                    102,                 1.6326,                 1.4228,                 1.7845,                0.70363,                0.56044,                 0.6329,                0.34762,                 1.5615,                 1.3008,                  1.772,             0.00083358,             0.00083358,             0.00083358
                    103,                 1.6036,                 1.4281,                 1.8066,                0.72836,                0.55552,                 0.6521,                0.38633,                 1.4498,                 1.2679,                 1.6824,             0.00082533,             0.00082533,             0.00082533
                    104,                 1.5807,                 1.4163,                 1.7819,                0.76057,                0.53197,                0.64434,                0.37263,                 1.4737,                 1.2583,                 1.6899,             0.00081708,             0.00081708,             0.00081708
                    105,                 1.5866,                 1.3647,                 1.7701,                0.74231,                0.58308,                0.65406,                  0.361,                 1.5349,                   1.28,                 1.7393,             0.00080883,             0.00080883,             0.00080883
                    106,                 1.5794,                 1.4195,                 1.7958,                0.70716,                0.54333,                0.63645,                0.37357,                 1.4747,                 1.2901,                   1.69,             0.00080058,             0.00080058,             0.00080058
                    107,                 1.5782,                 1.4257,                 1.7973,                0.77688,                 0.5557,                0.65659,                0.38437,                 1.4887,                 1.2252,                 1.6894,             0.00079233,             0.00079233,             0.00079233
                    108,                 1.5593,                 1.3812,                 1.7558,                0.79091,                0.54917,                0.66002,                0.37445,                 1.4899,                 1.2674,                 1.7106,             0.00078407,             0.00078407,             0.00078407
                    109,                 1.5834,                 1.3969,                 1.7695,                 0.7693,                0.55679,                0.66097,                0.38248,                 1.4951,                 1.2497,                 1.6921,             0.00077582,             0.00077582,             0.00077582
                    110,                 1.5654,                  1.339,                 1.7601,                0.76655,                0.55742,                0.66514,                0.39233,                 1.4597,                 1.2268,                 1.6734,             0.00076757,             0.00076757,             0.00076757
                    111,                 1.5932,                 1.3773,                 1.7646,                 0.7595,                0.56748,                  0.671,                0.39842,                 1.4216,                 1.1897,                 1.6378,             0.00075932,             0.00075932,             0.00075932
                    112,                 1.5393,                 1.3783,                 1.7435,                0.78067,                0.55333,                0.67176,                0.39551,                 1.4343,                 1.1842,                 1.6388,             0.00075107,             0.00075107,             0.00075107
                    113,                 1.5828,                 1.3783,                 1.7759,                0.79393,                0.59279,                0.69137,                0.40189,                  1.463,                 1.2197,                 1.6714,             0.00074282,             0.00074282,             0.00074282
                    114,                 1.5153,                 1.3375,                 1.7457,                0.84303,                0.55816,                0.68901,                0.39979,                 1.4387,                 1.1867,                 1.6399,             0.00073456,             0.00073456,             0.00073456
                    115,                 1.5593,                 1.3413,                 1.7517,                0.79102,                0.57999,                0.68054,                0.39907,                 1.4356,                 1.2552,                 1.6597,             0.00072631,             0.00072631,             0.00072631
                    116,                  1.584,                 1.3614,                 1.7696,                0.79409,                0.59868,                0.67825,                0.39872,                 1.4454,                 1.2259,                 1.6582,             0.00071806,             0.00071806,             0.00071806
                    117,                 1.5552,                 1.3083,                 1.7119,                0.81305,                0.58405,                0.67947,                0.41263,                 1.3853,                 1.2222,                 1.6033,             0.00070981,             0.00070981,             0.00070981
                    118,                 1.5281,                 1.3019,                 1.6963,                0.79417,                0.58678,                0.69749,                0.40991,                 1.4128,                  1.194,                 1.6258,             0.00070156,             0.00070156,             0.00070156
                    119,                 1.5117,                 1.3673,                 1.7178,                0.77586,                0.60017,                0.69691,                 0.4246,                 1.3848,                 1.1498,                 1.6073,             0.00069331,             0.00069331,             0.00069331
                    120,                 1.5168,                 1.2768,                 1.7178,                 0.7874,                 0.6137,                0.71234,                0.42312,                 1.3708,                 1.1231,                 1.5891,             0.00068505,             0.00068505,             0.00068505
                    121,                 1.5355,                 1.3123,                 1.7097,                 0.8214,                0.60064,                0.70194,                0.41434,                 1.4642,                 1.2088,                 1.6619,              0.0006768,              0.0006768,              0.0006768
                    122,                 1.5018,                 1.3035,                 1.6962,                0.83284,                0.57311,                 0.7018,                0.42412,                 1.4022,                 1.1744,                 1.6202,             0.00066855,             0.00066855,             0.00066855
                    123,                 1.5411,                 1.3253,                 1.7142,                0.81858,                 0.5973,                0.70373,                0.42663,                 1.4038,                 1.1449,                  1.606,              0.0006603,              0.0006603,              0.0006603
                    124,                 1.5278,                 1.3079,                 1.7198,                0.80265,                0.62629,                0.72164,                0.43448,                 1.3668,                 1.1091,                 1.5789,             0.00065205,             0.00065205,             0.00065205
                    125,                 1.5175,                 1.2883,                  1.707,                0.80107,                   0.61,                0.71158,                0.42983,                 1.3761,                 1.1333,                 1.5953,              0.0006438,              0.0006438,              0.0006438
                    126,                 1.4878,                 1.2829,                 1.6916,                0.82719,                0.61774,                0.71393,                0.43223,                 1.3998,                 1.1255,                 1.6056,             0.00063554,             0.00063554,             0.00063554
                    127,                 1.5503,                 1.2975,                 1.7115,                0.82515,                0.61853,                0.72366,                 0.4378,                   1.36,                 1.0796,                  1.572,             0.00062729,             0.00062729,             0.00062729
                    128,                 1.4966,                 1.2788,                 1.6999,                0.82251,                0.62181,                 0.7232,                 0.4339,                 1.3508,                 1.1061,                 1.5686,             0.00061904,             0.00061904,             0.00061904
                    129,                 1.4775,                 1.2663,                 1.6637,                0.83671,                0.61711,                0.72305,                0.44446,                 1.3335,                 1.0787,                 1.5469,             0.00061079,             0.00061079,             0.00061079
                    130,                 1.5467,                 1.2837,                 1.7018,                 0.8247,                0.61512,                0.71639,                0.43396,                 1.3501,                  1.084,                 1.5623,             0.00060254,             0.00060254,             0.00060254
                    131,                 1.4464,                  1.247,                 1.6607,                0.83536,                0.64286,                0.74103,                0.44517,                 1.3143,                 1.0707,                 1.5374,             0.00059429,             0.00059429,             0.00059429
                    132,                 1.4921,                 1.2601,                 1.6696,                0.75361,                0.62364,                0.71568,                0.45046,                 1.3097,                 1.0847,                 1.5492,             0.00058603,             0.00058603,             0.00058603
                    133,                 1.4891,                 1.2384,                 1.6454,                0.79553,                0.62551,                0.72282,                0.45132,                 1.3288,                 1.0949,                 1.5574,             0.00057778,             0.00057778,             0.00057778
                    134,                 1.4619,                 1.2506,                  1.674,                0.82377,                0.62393,                0.73382,                0.44479,                 1.3128,                 1.0691,                 1.5328,             0.00056953,             0.00056953,             0.00056953
                    135,                 1.4837,                 1.2685,                 1.6477,                 0.8152,                0.61442,                0.72501,                0.44475,                   1.34,                 1.1358,                 1.5521,             0.00056128,             0.00056128,             0.00056128
                    136,                 1.4646,                 1.2411,                 1.6603,                0.79874,                0.59099,                 0.7078,                0.44255,                 1.3378,                 1.0756,                 1.5418,             0.00055303,             0.00055303,             0.00055303
                    137,                 1.4865,                 1.2602,                 1.6552,                0.80262,                0.62184,                0.72493,                0.44396,                 1.3679,                 1.0921,                  1.572,             0.00054478,             0.00054478,             0.00054478
                    138,                 1.4945,                 1.2546,                 1.6517,                0.81313,                0.62109,                0.73882,                0.45792,                 1.3202,                 1.0818,                 1.5479,             0.00053652,             0.00053652,             0.00053652
                    139,                 1.4393,                  1.213,                 1.6437,                0.80811,                0.65007,                0.74388,                0.46432,                 1.3068,                 1.0275,                 1.5206,             0.00052827,             0.00052827,             0.00052827
                    140,                 1.4777,                 1.2533,                 1.6674,                0.84099,                 0.6466,                0.74055,                0.45852,                 1.3319,                 1.0381,                 1.5293,             0.00052002,             0.00052002,             0.00052002
                    141,                 1.4588,                 1.2034,                 1.6306,                0.82948,                0.65844,                0.74929,                 0.4699,                 1.2773,                  1.013,                 1.5086,             0.00051177,             0.00051177,             0.00051177
                    142,                 1.4231,                 1.2308,                 1.6507,                0.83556,                0.63798,                0.74422,                0.46959,                 1.2835,                 1.0168,                 1.5075,             0.00050352,             0.00050352,             0.00050352
                    143,                 1.4708,                 1.2338,                 1.6305,                 0.8312,                0.64931,                0.75464,                0.46813,                 1.2581,                 1.0173,                  1.476,             0.00049527,             0.00049527,             0.00049527
                    144,                 1.4144,                  1.171,                 1.6122,                 0.8762,                 0.6404,                  0.761,                0.46567,                 1.2752,                 1.0208,                 1.4855,             0.00048701,             0.00048701,             0.00048701
                    145,                 1.3923,                 1.1751,                 1.5905,                0.85032,                0.64718,                0.75548,                0.47581,                 1.2593,                 1.0029,                 1.4847,             0.00047876,             0.00047876,             0.00047876
                    146,                 1.4213,                  1.162,                 1.5963,                0.83341,                0.65112,                0.75968,                0.48171,                 1.2675,                 1.0053,                 1.4999,             0.00047051,             0.00047051,             0.00047051
                    147,                 1.4104,                 1.2111,                  1.637,                0.85954,                0.66658,                0.76875,                0.48334,                 1.2511,                0.98678,                 1.4894,             0.00046226,             0.00046226,             0.00046226
